902 1800
51.22105 73.01705 21.25274
44.80209 74.94932 8.91261
31.62155 80.88836 5.43057
28.81555 84.37208 11.75925
36.25059 80.28660 19.91444
14.62927 92.38125 13.27534
2.85914 97.64442 23.88759
6.03071 94.75560 6.91126
-6.33720 101.40689 11.31148
-15.81425 106.20502 19.04062
-15.43347 105.20041 25.86797
-30.65722 108.18380 15.84914
-51.95208 110.52329 16.31305
-55.81447 111.30538 26.53402
-35.22932 108.03229 32.63577
-73.87787 110.28169 27.61014
-70.53244 106.30706 40.56800
-87.23503 109.13552 12.73645
-97.51578 104.71876 9.99236
-98.37507 101.84191 26.91662
-84.31093 102.44845 42.86618
-108.65457 95.18199 24.17244
-109.25302 90.60172 41.55152
-113.35634 90.44456 2.04175
-119.75869 82.33312 -4.83357
-123.93134 80.67290 10.95410
-118.27217 83.94399 35.42066
-128.45777 74.86020 3.95876
-127.88189 70.50675 19.25342
-129.81396 69.58509 -15.51924
-132.71693 63.23721 -14.94894
-133.37927 58.77227 0.35655
-130.24220 60.16499 15.12794
-132.53120 44.29872 2.59754
-129.22273 26.97396 14.03718
-131.39823 38.51832 -6.12279
-128.08665 22.99962 -1.92312
-126.00670 11.21496 5.24052
-126.22446 8.98689 12.63181
-122.41962 0.62829 1.28636
-118.75039 -14.82047 1.26131
-119.56611 -23.23191 7.78316
-123.25157 -11.18335 15.42117
-116.30207 -38.69461 4.29944
-118.32373 -45.41340 10.13801
-110.41057 -42.06631 -4.14843
-104.53874 -51.20590 -7.87839
-105.39946 -58.08842 -1.87453
-113.31993 -55.57095 7.54421
-98.45664 -63.58004 -0.14717
-98.53003 -66.33677 12.01492
-91.43622 -65.04018 -6.47868
-84.78450 -71.82099 -0.56251
-84.09423 -76.20807 12.48985
-90.45566 -72.48119 18.56491
-76.29476 -84.49199 19.51797
-72.61043 -88.55062 31.49663
-68.91503 -88.07609 11.84549
-59.67341 -95.83240 15.64249
-56.91234 -98.94447 25.79346
-61.85802 -95.13746 33.70617
-45.16693 -102.46842 24.30200
-35.16940 -101.29556 28.78735
-36.86428 -103.41330 15.69023
-23.69932 -104.40592 14.61939
-14.80119 -104.89422 19.54691
-17.20200 -102.94309 25.86208
0.15106 -104.64853 15.48067
20.13682 -104.22773 18.15390
23.55403 -103.60408 28.49789
1.95505 -101.79774 31.36289
42.01463 -101.64738 33.83729
40.17464 -97.99689 44.20681
55.54440 -99.98777 24.42640
66.71584 -94.45481 24.63591
68.41647 -90.77773 35.87183
55.69018 -92.77389 45.92364
80.13166 -82.48897 32.36084
84.45527 -76.43494 39.69455
87.20585 -78.34283 18.41305
98.13541 -70.11839 14.83484
104.61474 -66.77475 26.25556
98.54652 -68.67094 37.52726
116.67370 -60.77370 24.37654
123.97571 -55.54508 36.49030
121.09866 -57.21119 9.60982
131.13823 -50.09420 5.96045
137.02425 -44.08495 16.44608
134.00199 -45.66096 32.70294
143.16255 -31.07543 11.19981
144.73973 -16.64929 19.06567
142.80792 -27.36828 0.39657
144.21046 -15.69777 0.35208
126.78931 2.21554 -6.02880
126.05622 11.51094 1.35284
140.15011 -9.02851 -2.28490
134.13532 -9.03030 -7.35705
109.46945 21.25283 -3.25872
116.88072 20.73424 2.47744
118.06237 1.49404 -11.93960
109.79836 11.18030 -10.42855
100.16390 31.00695 -4.87202
97.20155 38.93516 -0.91553
78.46120 51.61491 -7.62401
86.63371 48.43811 -1.42648
92.52725 32.45893 -12.65105
